Project,Total,Converted,Compiled,ConvertFail,CompileFail
serilog-aspnetcore,3,3,3,0,0
WaveFunctionCollapse,5,5,5,0,0
Dapper,50,50,50,0,0
Humanizer,100,100,100,0,0
Mapster,100,100,100,0,0
FluentFTP,100,100,100,0,0
MQTTnet,100,100,100,0,0
Mediator,68,68,68,0,0
Newtonsoft.Json,100,100,100,0,0
ILSpy,100,100,100,0,0
ScreenToGif,100,100,100,0,0
DevToys,100,100,100,0,0
lively,100,100,100,0,0
v2rayN,100,100,100,0,0
shadowsocks-windows,78,78,78,0,0
semantic-kernel,100,100,100,0,0
eShopOnContainers,0,0,0,0,0
mapperly,100,100,100,0,0
Avalonia,100,100,100,0,0
CMWTAT_Digital_Edition,6,6,6,0,0
ChaosRecipeEnhancer,94,94,94,0,0
CodeHub,100,100,100,0,0
Files,100,100,100,0,0
MudBlazor,100,100,100,0,0
PEASS-ng,77,77,77,0,0
Playnite,100,100,100,0,0
PowerShell,100,100,100,0,0
PowerToys,100,100,100,0,0
QuickLook,100,100,100,0,0
RP-1,100,100,100,0,0
RevokeMsgPatcher,45,45,45,0,0
ShareX,100,100,100,0,0
SteamTools,100,100,100,0,0
UniGetUI,100,99,99,1,0
Windows-Auto-Night-Mode,100,100,99,0,1
active-directory-aspnetcore-webapp-openidconnect-v2,100,100,100,0,0
ai2thor,100,100,100,0,0
awesome-dotnet-core,1,1,1,0,0
aws-sdk-net,100,100,100,0,0
bloxstrap,100,100,100,0,0
dnSpy,100,100,100,0,0
dotnet,100,100,100,0,0
jellyfin,100,100,100,0,0
maui,100,100,100,0,0
ml-agents,100,100,100,0,0
roslyn,100,100,100,0,0
samples,100,100,100,0,0
server,100,100,100,0,0
sqltoolsservice,100,99,99,1,0
